number,name,available,bustype,angle,magnitude,voltage_limits,base_voltage,area,load_zone
6053,bus-6053,true,PQ,-0.0005647149157402111,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3596,bus-3596,true,PQ,-0.03341408889572514,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3145,bus-3145,true,PQ,-0.0327935325423225,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
661,bus-661,true,PQ,-0.03610729773783133,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1408,bus-1408,true,PQ,-0.03712570084702852,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3663,bus-3663,true,PQ,-0.03636317871413697,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
995,bus-995,true,PV,1.9790041075208696e-6,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
3338,bus-3338,true,PQ,-0.03340281406875725,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
361,bus-361,true,PQ,-0.005618398523166934,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7989,bus-7989,true,PV,0.0014495562885401784,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
7180,bus-7180,true,PQ,-0.03491360981559294,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
338,bus-338,true,PQ,-0.038919598597848576,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4866,bus-4866,true,PQ,0.001551229861175138,1.0,"(min = 0.94, max = 1.06)",500.0,0,0
466,bus-466,true,PQ,-0.0003364303280942135,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
296,bus-296,true,PQ,-0.0030981744119471955,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5550,bus-5550,true,PQ,0.009696512338629535,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2342,bus-2342,true,PQ,-0.03449422988561898,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4401,bus-4401,true,PQ,-0.03448312802077997,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4514,bus-4514,true,PQ,-0.03232732438131998,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4751,bus-4751,true,PQ,-0.0009240504736987001,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1939,bus-1939,true,PQ,-0.0006046318488797244,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6877,bus-6877,true,PQ,0.0074715108798241465,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8482,bus-8482,true,PQ,0.0014506081286671853,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8695,bus-8695,true,PQ,-0.03416256898211978,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4243,bus-4243,true,PQ,-0.019178861154146545,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
5483,bus-5483,true,PQ,0.0027126543057942373,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
5904,bus-5904,true,PQ,-0.0004837375620951555,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7948,bus-7948,true,PQ,-0.001448075825219479,1.0,"(min = 0.94, max = 1.06)",500.0,0,0
8661,bus-8661,true,PQ,-0.034856316764902355,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6273,bus-6273,true,PQ,0.0005050807432228472,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8437,bus-8437,true,PQ,0.004058624893076178,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
206,bus-206,true,PV,0.015383735826453762,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7064,bus-7064,true,PQ,-0.032523928042108435,1.0,"(min = 0.94, max = 1.06)",230.0,0,0
3579,bus-3579,true,PQ,-0.036142983088783456,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6130,bus-6130,true,PQ,-0.0004999724926241591,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8224,bus-8224,true,PQ,0.011802039081178778,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1253,bus-1253,true,PV,-0.03236592233772784,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
5367,bus-5367,true,PQ,0.005271041035946505,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
1387,bus-1387,true,PQ,-0.036560592905830046,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
8779,bus-8779,true,PQ,-0.032579311178998566,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
2872,bus-2872,true,PQ,-0.006522195005910942,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
3365,bus-3365,true,PQ,-0.032084076272673206,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
7528,bus-7528,true,PQ,-0.02934062620818618,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4738,bus-4738,true,PQ,-0.0013297034554282379,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
6872,bus-6872,true,PQ,0.0071870740829344405,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
7310,bus-7310,true,PQ,-0.034521635394599647,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
4222,bus-4222,true,PQ,-0.003411089327362673,1.0,"(min = 0.94, max = 1.06)",115.0,0,0
5215,bus-5215,true,PQ,0.001976322007699452,1.0,"(min = 0.94, max = 1.06)",66.0,0,0
