name,available,from_bus_name,from_bus_id,to_bus_name,to_bus_id,r,x,b,rating,angle_limits,from_bus_voltage,to_bus_voltage,from_bus_area,to_bus_area,active_power_flow,reactive_power_flow
bus-5926-bus-5928-i_7148,true,bus-5926,5926,bus-5928,5928,0.000569733108,0.00460965914,"(from = 4.973160705e-5, to = 4.973160705e-5)",1.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-4360-bus-4359-i_2510,true,bus-4360,4360,bus-4359,4359,0.00032392796,0.000459836866,"(from = 3.166913745e-6, to = 3.166913745e-6)",0.35,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-1597-bus-4439-i_3182,true,bus-1597,1597,bus-4439,4439,0.000259196488,0.00180566075,"(from = 0.0001636777825, to = 0.0001636777825)",2.5,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-3926-bus-3928-i_3173,true,bus-3926,3926,bus-3928,3928,0.000610568855,0.00116928318,"(from = 7.69895195e-6, to = 7.69895195e-6)",0.41,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-8727-bus-6811-i_8502,true,bus-8727,8727,bus-6811,6811,6.86298001e-5,0.000465586902,"(from = 0.00042381883, to = 0.00042381883)",3.66,"(min = -1.0472, max = 1.0472)",230.0,230.0,0,0,0.0,0.0
bus-3531-bus-1396-i_2346,true,bus-3531,3531,bus-1396,1396,0.00152955494,0.00343158085,"(from = 2.29023795e-5, to = 2.29023795e-5)",0.57,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-1078-bus-6958-i_8821,true,bus-1078,1078,bus-6958,6958,0.00392277919,0.0359042498,"(from = 0.0003761246275, to = 0.0003761246275)",1.54,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-3170-bus-8-i_1637,true,bus-3170,3170,bus-8,8,8.93972815e-5,0.000249289871,"(from = 1.26165097e-5, to = 1.26165097e-5)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-4682-bus-1276-i_4488,true,bus-4682,4682,bus-1276,1276,0.00542965434,0.014782565,"(from = 0.000785288765, to = 0.000785288765)",1.18,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
bus-7245-bus-7237-i_9315,true,bus-7245,7245,bus-7237,7237,0.00842543079,0.0241651463,"(from = 0.0001555429975, to = 0.0001555429975)",0.64,"(min = -1.0472, max = 1.0472)",66.0,66.0,0,0,0.0,0.0
bus-7547-bus-7548-i_9867,true,bus-7547,7547,bus-7548,7548,0.000348889049,0.00378133507,"(from = 0.000284918371, to = 0.000284918371)",3.17,"(min = -1.0472, max = 1.0472)",115.0,115.0,0,0,0.0,0.0
