name,available,bus_name,bus_number,area,active_power,reactive_power,max_active_power,max_reactive_power
bus685,true,bus-685,685,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.543063558,0.163491554,0.543063558,0.163491554
bus1470,true,bus-1470,1470,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.128046512,0.0390671692,0.128046512,0.0390671692
bus1297,true,bus-1297,1297,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0406711224,0.0164718301,0.0406711224,0.0164718301
bus4585,true,bus-4585,4585,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.178538822,0.0360031694,0.182885,0.0360031694
bus789,true,bus-789,789,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.151825243,0.0285285121,0.153193,0.0285285121
bus12,true,bus-12,12,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0586119021,0.0180931205,0.0586119021,0.0180931205
bus584,true,bus-584,584,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.214677287,0.06878711509999999,0.214677287,0.06878711509999999
bus403,true,bus-403,403,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.586754629,0.148570372,0.586754629,0.148570372
bus823,true,bus-823,823,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0338061926,0.013944297100000001,0.0338061926,0.013944297100000001
bus8476,true,bus-8476,8476,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0758894576,0.024777686499999996,0.0758894576,0.024777686499999996
bus1188,true,bus-1188,1188,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.601361444,0.145419628,0.607438,0.145419628
bus1261,true,bus-1261,1261,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.6672801730000001,0.24222319599999997,0.6672801730000001,0.24222319599999997
bus8052,true,bus-8052,8052,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0350293397,0.0133716856,0.0350293397,0.0133716856
bus442,true,bus-442,442,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0389644554,0.014973294100000001,0.0389644554,0.014973294100000001
bus966,true,bus-966,966,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0267486447,0.0107533583,0.0267486447,0.0107533583
bus641,true,bus-641,641,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0365346482,0.0135338223,0.0365346482,0.0135338223
bus884,true,bus-884,884,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0694681999,0.024224235400000002,0.0694681999,0.024224235400000002
bus2232,true,bus-2232,2232,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.116749769,0.036790140400000004,0.116749769,0.036790140400000004
bus2510,true,bus-2510,2510,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.06027099909999999,0.0207316166,0.06027099909999999,0.0207316166
bus280,true,bus-280,280,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.375493383,0.122883333,0.375493383,0.122883333
bus3150,true,bus-3150,3150,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.11151646400000001,0.0310495475,0.11151646400000001,0.0310495475
bus458,true,bus-458,458,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.398928521,0.088896891,0.420939,0.088896891
bus942,true,bus-942,942,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.039067537799999996,0.0126582855,0.039067537799999996,0.0126582855
bus7806,true,bus-7806,7806,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.614198483,0.22450304299999999,0.614198483,0.22450304299999999
bus1514,true,bus-1514,1514,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.265796308,0.0971872847,0.265796308,0.0971872847
bus2644,true,bus-2644,2644,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.00260864036,0.00081791396,0.00260864036,0.00081791396
bus8074,true,bus-8074,8074,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.414410623,0.0666580306,0.42865200000000003,0.0666580306
bus812,true,bus-812,812,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.386939598,0.11829791699999999,0.386939598,0.11829791699999999
bus7452,true,bus-7452,7452,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.041456458700000004,0.0136384916,0.041456458700000004,0.0136384916
bus1622,true,bus-1622,1622,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))",0.0191990795,0.00841477229,0.0191990795,0.00841477229
