name,available,status,active_power,reactive_power,rating,active_power_limits,reactive_power_limits,ramp_limits,operation_cost,base_power,time_limits,must_run,prime_mover_type,fuel,services,time_at_status,dynamic_injector,bus_name,bus_number,area
gen-2064,true,true,0.0,0.0,0.021,"(min = 0.0, max = 0.021)","(min = 0.0, max = 0.0)","(up = 0.0001, down = 0.0001)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(24.5037276, 248.251086), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 1.0)",false,OT,NATURAL_GAS,Service[],10000.0,,bus-1244,1244,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-243,true,true,1.8280135000000002,0.0,2.150644787034809,"(min = 0.0, max = 1.828)","(min = -0.609, max = 1.133)","(up = 0.0014000000000000002, down = 0.0014000000000000002)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(10.4426725, 1481.47126), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 1.0)",false,CT,NATURAL_GAS,Service[],10000.0,,bus-8018,8018,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-1400,true,true,0.0,0.0,0.24008007955448718,"(min = 0.0, max = 0.063)","(min = -0.13699999999999998, max = 0.231666667)","(up = 0.0001, down = 0.0001)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(58.907, 173.53), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 1.0)",false,OT,MUNICIPAL_WASTE,Service[],10000.0,,bus-698,698,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-160,true,true,0.0,0.0,1.632,"(min = 0.0, max = 1.632)","(min = 0.0, max = 0.0)","(up = 5.4000000000000005e-5, down = 5.4000000000000005e-5)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(22.6772275, 469.549327), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 2.0, down = 4.0)",false,ST,NATURAL_GAS,Service[],10000.0,,bus-7747,7747,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-629,true,true,0.10668558600000001,0.0,0.2927746573732091,"(min = 0.0, max = 0.249)","(min = -0.083, max = 0.154)","(up = 0.002475, down = 0.002475)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(15.2973842, 142.358645), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 0.0)",false,GT,NATURAL_GAS,Service[],10000.0,,bus-239,239,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-696,true,true,0.0530003898,0.0,0.25129772208023676,"(min = 0.0, max = 0.053)","(min = -0.143219355, max = 0.245645161)","(up = 0.002475, down = 0.002475)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(13.502241700000003, 315.964182), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 0.0)",false,GT,NATURAL_GAS,Service[],10000.0,,bus-1123,1123,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-1486,true,true,0.0,0.0,0.011000000000000001,"(min = 0.0, max = 0.011000000000000001)","(min = 0.0, max = 0.0)","(up = 0.0001, down = 0.0001)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(24.5037276, 248.251086), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 1.0)",false,OT,NATURAL_GAS,Service[],10000.0,,bus-633,633,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-975,true,true,0.012000088099999999,0.0,0.6157836022945795,"(min = 0.0, max = 0.012)","(min = -0.273666667, max = 0.615666667)","(up = 0.0001, down = 0.0001)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(7.3428025, 22.7651352), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 1.0)",false,IC,NATURAL_GAS,Service[],10000.0,,bus-2396,2396,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-424,true,true,0.440003245,0.0,0.4888445560707412,"(min = 0.0, max = 0.44)","(min = -0.147, max = 0.213)","(up = 0.002475, down = 0.002475)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(12.9312538, 315.65224), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 0.0)",false,GT,NATURAL_GAS,Service[],10000.0,,bus-1775,1775,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
gen-1401,true,true,0.0,0.0,0.25435102633740025,"(min = 0.0, max = 0.105)","(min = -0.13699999999999998, max = 0.231666667)","(up = 0.0001, down = 0.0001)","ThermalGenerationCost(CostCurve{LinearCurve}(LinearCurve(58.907, 173.53), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0, 0.0, 0.0)",100.0,"(up = 1.0, down = 1.0)",false,OT,MUNICIPAL_WASTE,Service[],10000.0,,bus-698,698,"Area(0, 0.0, 0.0, 0.0, Dict{String, Any}(""I"" => """", ""ARNAME"" => """", ""PTOL"" => """", ""PDES"" => """", ""ISW"" => """"))"
