name,available,from_bus_name,from_bus_id,to_bus_name,to_bus_id,r,x,primary_shunt,rating,base_voltage_primary,base_voltage_secondary,from_bus_voltage,to_bus_voltage,from_bus_area,to_bus_area,active_power_flow,reactive_power_flow
bus-7771-bus-7770-i_10241,true,bus-7771,7771,bus-7770,7770,0.00161216756,0.0716528498,0.0 + 0.0im,2.03708658,500.0,230.0,500.0,230.0,0,0,0.0,0.0
bus-8064-bus-8066-i_10396,true,bus-8064,8064,bus-8066,8066,0.00204461676,0.0783906064,0.0 + 0.0im,1.39,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-7844-bus-7845-i_10281,true,bus-7844,7844,bus-7845,7845,0.00212043247,0.0807752311,0.0 + 0.0im,1.3489588449999999,230.0,115.0,230.0,115.0,0,0,0.0,0.0
bus-8708-bus-8707-i_10735,true,bus-8708,8708,bus-8707,8707,0.0103036866,0.257592165,0.0 + 0.0im,0.422811403,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-7950-bus-7951-i_10336,true,bus-7950,7950,bus-7951,7951,0.000350220167,0.0254844944,0.0 + 0.0im,4.27670673,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8752-bus-8753-i_10760,true,bus-8752,8752,bus-8753,8753,0.00224005061,0.084527078,0.0 + 0.0im,1.2890750199999998,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8275-bus-8274-i_10507,true,bus-8275,8275,bus-8274,8274,0.029176668,0.7294167,0.0 + 0.0im,0.2,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8148-bus-8147-i_10439,true,bus-8148,8148,bus-8147,8147,0.0008879839,0.0466369144,0.0 + 0.0im,3.13,115.0,66.0,115.0,66.0,0,0,0.0,0.0
bus-8429-bus-8430-i_10590,true,bus-8429,8429,bus-8430,8430,0.00282704401,0.10279132,0.0 + 0.0im,1.06,230.0,66.0,230.0,66.0,0,0,0.0,0.0
bus-8703-bus-8702-i_10732,true,bus-8703,8703,bus-8702,8702,0.0003066867,0.0235843091,0.0 + 0.0im,6.19003325,500.0,230.0,500.0,230.0,0,0,0.0,0.0
