number,name,available,bustype,angle,magnitude,base_voltage,area,load_zone
202,Bacon,true,PV,-0.1877810214196211,1.04844,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(22.0, 529.0, 108.0, Dict{String, Any}())"
321,Cobb,true,PV,0.21539492271297458,1.05,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(37.0, 333.0, 68.0, Dict{String, Any}())"
322,Cole,true,PV,0.3153659860038082,1.05,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(37.0, 333.0, 68.0, Dict{String, Any}())"
102,Adams,true,PV,-0.1364470483941135,1.04783,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(12.0, 529.0, 108.0, Dict{String, Any}())"
117,Aston,true,PQ,0.19956391373276003,1.04783,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(17.0, 333.0, 68.0, Dict{String, Any}())"
324,Curie,true,PQ,0.02279504722859714,1.01046,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(36.0, 611.0, 123.0, Dict{String, Any}())"
121,Attlee,true,PV,0.22840303616101354,1.05,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(17.0, 333.0, 68.0, Dict{String, Any}())"
206,Bajer,true,PQ,-0.28198796032281825,1.03259,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(22.0, 529.0, 108.0, Dict{String, Any}())"
217,Bates,true,PQ,0.15390994022494278,1.04847,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(27.0, 333.0, 68.0, Dict{String, Any}())"
103,Adler,true,PQ,-0.1258539470320591,1.01085,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(11.0, 433.0, 88.0, Dict{String, Any}())"
301,Cabell,true,PV,-0.1631570436678591,1.0486,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(31.0, 433.0, 88.0, Dict{String, Any}())"
204,Bailey,true,PQ,-0.23535398444000616,1.0189,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(21.0, 433.0, 88.0, Dict{String, Any}())"
107,Alder,true,PV,-0.19681606735842017,1.03745,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(12.0, 529.0, 108.0, Dict{String, Any}())"
311,Cary,true,PQ,-0.10019394183631328,1.0283,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(33.0, 370.0, 76.0, Dict{String, Any}())"
110,Allen,true,PQ,-0.18536496213608536,1.05,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(13.0, 370.0, 76.0, Dict{String, Any}())"
317,Chuhsi,true,PQ,0.18053999941894702,1.04785,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(37.0, 333.0, 68.0, Dict{String, Any}())"
215,Barton,true,PV,0.08087000542408246,1.04327,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(26.0, 611.0, 123.0, Dict{String, Any}())"
323,Comte,true,PV,0.15046692920953353,1.05,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(35.0, 309.0, 63.0, Dict{String, Any}())"
201,Bach,true,PV,-0.18657098464921346,1.04841,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(21.0, 433.0, 88.0, Dict{String, Any}())"
303,Caesar,true,PQ,-0.14969497008137647,1.01045,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(31.0, 433.0, 88.0, Dict{String, Any}())"
307,Carew,true,PV,-0.21900304187562247,1.03804,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(32.0, 529.0, 108.0, Dict{String, Any}())"
205,Bain,true,PQ,-0.23757194885344055,1.03603,138.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(21.0, 433.0, 88.0, Dict{String, Any}())"
315,Chase,true,PV,0.12306107116301779,1.043,230.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(36.0, 611.0, 123.0, Dict{String, Any}())"
222,Bell,true,PQ,0.28679302628648384,1.05,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(27.0, 333.0, 68.0, Dict{String, Any}())"
308,Carrel,true,PQ,-0.26499107140227146,1.01056,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(32.0, 529.0, 108.0, Dict{String, Any}())"
109,Ali,true,PQ,-0.15385496235350493,1.0261,138.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(13.0, 370.0, 76.0, Dict{String, Any}())"
310,Caruso,true,PQ,-0.2146959183475509,1.05,138.0,"Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(33.0, 370.0, 76.0, Dict{String, Any}())"
124,Avery,true,PQ,0.04159800285910765,1.01155,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(16.0, 611.0, 123.0, Dict{String, Any}())"
116,Asser,true,PV,0.13210903253828157,1.04565,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(16.0, 611.0, 123.0, Dict{String, Any}())"
122,Aubrey,true,PV,0.33073605352857105,1.05,230.0,"Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(17.0, 333.0, 68.0, Dict{String, Any}())"
211,Bardeen,true,PQ,-0.12100996022607405,1.02735,230.0,"Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}())","LoadZone(23.0, 370.0, 76.0, Dict{String, Any}())"
