name,available,active_power_flow,reactive_power_flow,arc,r,x,b,rating,angle_limits,g
C31-2,true,0.0,0.0,"Arc(ACBus(318, Clark, true, ACBusTypes.PV = 2, 0.19796606480255924, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(321, Cobb, true, ACBusTypes.PV = 2, 0.21539492271297458, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.026,"(from = 0.0275, to = 0.0275)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B8,true,0.0,0.0,"Arc(ACBus(204, Bailey, true, ACBusTypes.PQ = 1, -0.23535398444000616, 1.0189, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(21.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(209, Balzac, true, ACBusTypes.PQ = 1, -0.204623972300142, 1.02781, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(23.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.027,0.104,"(from = 0.014, to = 0.014)",0.6992892127583322,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B26,true,0.0,0.0,"Arc(ACBus(215, Barton, true, ACBusTypes.PV = 2, 0.08087000542408246, 1.04327, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(26.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(224, Bordet, true, ACBusTypes.PQ = 1, -0.01675603348377156, 1.01456, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(26.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.007,0.052,"(from = 0.0545, to = 0.0545)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A32-2,true,0.0,0.0,"Arc(ACBus(119, Attar, true, ACBusTypes.PQ = 1, 0.11620000734050288, 1.03962, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(120, Attila, true, ACBusTypes.PQ = 1, 0.13509895607987307, 1.04399, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.04,"(from = 0.0415, to = 0.0415)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
CA-1,true,0.0,0.0,"Arc(ACBus(325, Curtiss, true, ACBusTypes.PQ = 1, 0.15696304468545644, 1.04986, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(121, Attlee, true, ACBusTypes.PV = 2, 0.22840303616101354, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.012,0.097,"(from = 0.1015, to = 0.1015)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A5,true,0.0,0.0,"Arc(ACBus(102, Adams, true, ACBusTypes.PV = 2, -0.1364470483941135, 1.04783, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(12.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(106, Alber, true, ACBusTypes.PQ = 1, -0.23176995082103577, 1.03242, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(12.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()))",0.05,0.192,"(from = 0.026, to = 0.026)",3.8721662699980706,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B34,true,0.0,0.0,"Arc(ACBus(221, Behring, true, ACBusTypes.PV = 2, 0.1855649768683639, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(222, Bell, true, ACBusTypes.PQ = 1, 0.28679302628648384, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.009,0.068,"(from = 0.071, to = 0.071)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B19,true,0.0,0.0,"Arc(ACBus(211, Bardeen, true, ACBusTypes.PQ = 1, -0.12100996022607405, 1.02735, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(23.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(214, Barry, true, ACBusTypes.PV = 2, -0.08177199158151313, 1.04335, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(26.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.042,"(from = 0.044, to = 0.044)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B31-2,true,0.0,0.0,"Arc(ACBus(218, Bayle, true, ACBusTypes.PV = 2, 0.17444094634785287, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(221, Behring, true, ACBusTypes.PV = 2, 0.1855649768683639, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.026,"(from = 0.0275, to = 0.0275)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C30,true,0.0,0.0,"Arc(ACBus(317, Chuhsi, true, ACBusTypes.PQ = 1, 0.18053999941894702, 1.04785, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(322, Cole, true, ACBusTypes.PV = 2, 0.3153659860038082, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.014,0.105,"(from = 0.1105, to = 0.1105)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
