name,available,bus_name,bus_number,area,active_power,reactive_power,max_active_power,max_reactive_power
Bacon,true,Bacon,202,NYISO,0.97,0.2,0.387606020786047,0.2
Adams,true,Adams,102,PJM,0.97,0.2,2.14628644679893,0.2
Bajer,true,Bajer,206,NYISO,1.36,0.28,0.5434476167721897,0.28
Adler,true,Adler,103,PJM,1.8,0.37,3.982799591998015,0.37
Cabell,true,Cabell,301,ISONE,1.08,0.22,0.41875890207033445,0.22
Bailey,true,Bailey,204,NYISO,0.74,0.15,0.29569943853780906,0.15
Alder,true,Alder,107,PJM,1.25,0.25,2.7658330499986215,0.25
Allen,true,Allen,110,PJM,1.95,0.4,4.31469955799785,0.4
Barton,true,Barton,215,NYISO,3.17,0.64,1.2667124596822361,0.64
Bach,true,Bach,201,NYISO,1.08,0.22,0.43156134273085645,0.22
Caesar,true,Caesar,303,ISONE,1.8,0.37,0.6979315034505573,0.37
Carew,true,Carew,307,ISONE,1.25,0.25,0.48467465517399816,0.25
Bain,true,Bain,205,NYISO,0.71,0.14,0.28371162346195195,0.14
Chase,true,Chase,315,ISONE,3.17,0.64,1.2291349255212596,0.64
Carrel,true,Carrel,308,ISONE,1.71,0.35,0.6630349282780296,0.35
Ali,true,Ali,109,PJM,1.75,0.36,3.8721662699980706,0.36
Caruso,true,Caruso,310,ISONE,1.95,0.4,0.7560924620714371,0.4
Asser,true,Asser,116,PJM,1.0,0.2,2.2126664399988973,0.2
Chifa,true,Chifa,316,ISONE,1.0,0.2,0.3877397241391986,0.2
Alger,true,Alger,108,PJM,1.71,0.35,3.7836596123981145,0.35
Agricola,true,Agricola,104,PJM,0.74,0.15,1.637373165599184,0.15
Astor,true,Astor,118,PJM,3.33,0.68,7.368179245196329,0.68
Aiken,true,Aiken,105,PJM,0.71,0.14,1.570993172399217,0.14
Clay,true,Clay,319,ISONE,1.81,0.37,0.7018089006919493,0.37
Barlow,true,Barlow,213,NYISO,2.65,0.54,1.058923665034046,0.54
Caine,true,Caine,304,ISONE,0.74,0.15,0.2869273958630069,0.15
Banks,true,Banks,210,NYISO,1.95,0.4,0.779207979930713,0.4
Basov,true,Basov,216,NYISO,1.0,0.2,0.3995938358619041,0.2
Balzac,true,Balzac,209,NYISO,1.75,0.36,0.6992892127583322,0.36
Camus,true,Camus,306,ISONE,1.36,0.28,0.52732602482931,0.28
Chain,true,Chain,314,ISONE,1.94,0.39,0.7522150648300452,0.39
Alber,true,Alber,106,PJM,1.36,0.28,3.0092263583985006,0.28
Clark,true,Clark,318,ISONE,3.33,0.68,1.2911732813835313,0.68
Attar,true,Attar,119,PJM,1.81,0.37,4.004926256398004,0.37
Arthur,true,Arthur,115,PJM,3.17,0.64,7.0141526147965045,0.64
Cecil,true,Cecil,313,ISONE,2.65,0.54,1.0275102689688762,0.54
Beethoven,true,Beethoven,220,NYISO,1.28,0.26,0.5114801099032372,0.26
Attila,true,Attila,120,PJM,1.28,0.26,2.8322130431985886,0.26
Abel,true,Abel,101,PJM,1.08,0.22,2.3896797551988094,0.22
Balch,true,Balch,208,NYISO,1.71,0.35,0.683305459323856,0.35
Carter,true,Carter,309,ISONE,1.75,0.36,0.6785445172435975,0.36
Clive,true,Clive,320,ISONE,1.28,0.26,0.49630684689817417,0.26
Calvin,true,Calvin,305,ISONE,0.71,0.14,0.27529520413883096,0.14
Cabot,true,Cabot,302,ISONE,0.97,0.2,0.3761075324150226,0.2
Bayle,true,Bayle,218,NYISO,3.33,0.68,1.3306474734201408,0.68
Bede,true,Bede,219,NYISO,1.81,0.37,0.7232648429100464,0.37
Arnold,true,Arnold,114,PJM,1.94,0.39,4.29257289359786,0.39
Baker,true,Baker,207,NYISO,1.25,0.25,0.4994922948273801,0.25
Barry,true,Barry,214,NYISO,1.94,0.39,0.775212041572094,0.39
Arne,true,Arne,113,PJM,2.65,0.54,5.863566065997078,0.54
Baffin,true,Baffin,203,NYISO,1.8,0.37,0.7192689045514274,0.37
